INFO  - 2016-06-30 09:34:21.900; org.apache.solr.core.SolrCore; [collection1] Opening new SolrCore at /root/project/main/solr-4.10.4/example/solr/collection1/, dataDir=/root/project/main/solr-4.10.4/example/solr/collection1/data/
INFO  - 2016-06-30 09:34:21.937; org.apache.solr.core.JmxMonitoredMap; No JMX servers found, not exposing Solr information with JMX.
INFO  - 2016-06-30 09:34:21.946; org.apache.solr.core.SolrCore; [collection1] Added SolrEventListener for newSearcher: org.apache.solr.core.QuerySenderListener{queries=[]}
INFO  - 2016-06-30 09:34:21.948; org.apache.solr.core.SolrCore; [collection1] Added SolrEventListener for firstSearcher: org.apache.solr.core.QuerySenderListener{queries=[{q=static firstSearcher warming in solrconfig.xml}]}
INFO  - 2016-06-30 09:34:21.990; org.apache.solr.core.CachingDirectoryFactory; return new directory for /root/project/main/solr-4.10.4/example/solr/collection1/data
INFO  - 2016-06-30 09:34:22.017; org.apache.solr.core.SolrCore; New index directory detected: old=null new=/root/project/main/solr-4.10.4/example/solr/collection1/data/index/
WARN  - 2016-06-30 09:34:22.017; org.apache.solr.core.SolrCore; [collection1] Solr index directory '/root/project/main/solr-4.10.4/example/solr/collection1/data/index' doesn't exist. Creating new index...
INFO  - 2016-06-30 09:34:22.039; org.apache.solr.core.CachingDirectoryFactory; return new directory for /root/project/main/solr-4.10.4/example/solr/collection1/data/index
INFO  - 2016-06-30 09:34:22.215; org.apache.solr.core.SolrDeletionPolicy; SolrDeletionPolicy.onCommit: commits: num=1
	commit{dir=NRTCachingDirectory(NIOFSDirectory@/root/project/main/solr-4.10.4/example/solr/collection1/data/index lockFactory=NativeFSLockFactory@/root/project/main/solr-4.10.4/example/solr/collection1/data/index; maxCacheMB=48.0 maxMergeSizeMB=4.0),segFN=segments_1,generation=1}
INFO  - 2016-06-30 09:34:22.218; org.apache.solr.core.SolrDeletionPolicy; newest commit generation = 1
INFO  - 2016-06-30 09:34:22.227; org.apache.solr.core.SolrCore; created json: solr.JSONResponseWriter
INFO  - 2016-06-30 09:34:22.227; org.apache.solr.core.SolrCore; adding lazy queryResponseWriter: solr.VelocityResponseWriter
INFO  - 2016-06-30 09:34:22.228; org.apache.solr.core.SolrCore; created velocity: solr.VelocityResponseWriter
INFO  - 2016-06-30 09:34:22.240; org.apache.solr.core.SolrCore; created xslt: solr.XSLTResponseWriter
INFO  - 2016-06-30 09:34:22.241; org.apache.solr.response.XSLTResponseWriter; xsltCacheLifetimeSeconds=5
INFO  - 2016-06-30 09:34:22.381; org.apache.solr.core.SolrCore; no updateRequestProcessorChain defined as default, creating implicit default
INFO  - 2016-06-30 09:34:22.394; org.apache.solr.core.RequestHandlers; created /update: org.apache.solr.handler.UpdateRequestHandler
INFO  - 2016-06-30 09:34:22.394; org.apache.solr.core.RequestHandlers; created /update/json: org.apache.solr.handler.UpdateRequestHandler
INFO  - 2016-06-30 09:34:22.395; org.apache.solr.core.RequestHandlers; created /update/csv: org.apache.solr.handler.UpdateRequestHandler
INFO  - 2016-06-30 09:34:22.395; org.apache.solr.core.RequestHandlers; created /update/json/docs: org.apache.solr.handler.UpdateRequestHandler
INFO  - 2016-06-30 09:34:22.415; org.apache.solr.core.RequestHandlers; created /select: solr.SearchHandler
INFO  - 2016-06-30 09:34:22.416; org.apache.solr.core.RequestHandlers; created /query: solr.SearchHandler
INFO  - 2016-06-30 09:34:22.423; org.apache.solr.core.RequestHandlers; created /get: solr.RealTimeGetHandler
INFO  - 2016-06-30 09:34:22.424; org.apache.solr.core.RequestHandlers; created /export: solr.SearchHandler
INFO  - 2016-06-30 09:34:22.425; org.apache.solr.core.RequestHandlers; created /browse: solr.SearchHandler
WARN  - 2016-06-30 09:34:22.429; org.apache.solr.core.RequestHandlers; Multiple requestHandler registered to the same name: /update ignoring: org.apache.solr.handler.UpdateRequestHandler
INFO  - 2016-06-30 09:34:22.429; org.apache.solr.core.RequestHandlers; created /update: solr.UpdateRequestHandler
INFO  - 2016-06-30 09:34:22.429; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.extraction.ExtractingRequestHandler
INFO  - 2016-06-30 09:34:22.430; org.apache.solr.core.RequestHandlers; created /update/extract: solr.extraction.ExtractingRequestHandler
INFO  - 2016-06-30 09:34:22.431; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.FieldAnalysisRequestHandler
INFO  - 2016-06-30 09:34:22.434; org.apache.solr.core.RequestHandlers; created /analysis/field: solr.FieldAnalysisRequestHandler
INFO  - 2016-06-30 09:34:22.436; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.DocumentAnalysisRequestHandler
INFO  - 2016-06-30 09:34:22.437; org.apache.solr.core.RequestHandlers; created /analysis/document: solr.DocumentAnalysisRequestHandler
INFO  - 2016-06-30 09:34:22.443; org.apache.solr.core.RequestHandlers; created /admin/: solr.admin.AdminHandlers
INFO  - 2016-06-30 09:34:22.447; org.apache.solr.core.RequestHandlers; created /admin/ping: solr.PingRequestHandler
INFO  - 2016-06-30 09:34:22.455; org.apache.solr.core.RequestHandlers; created /debug/dump: solr.DumpRequestHandler
INFO  - 2016-06-30 09:34:22.477; org.apache.solr.core.RequestHandlers; created /replication: solr.ReplicationHandler
INFO  - 2016-06-30 09:34:22.478; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2016-06-30 09:34:22.478; org.apache.solr.core.RequestHandlers; created /spell: solr.SearchHandler
INFO  - 2016-06-30 09:34:22.480; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2016-06-30 09:34:22.481; org.apache.solr.core.RequestHandlers; created /tvrh: solr.SearchHandler
INFO  - 2016-06-30 09:34:22.481; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2016-06-30 09:34:22.483; org.apache.solr.core.RequestHandlers; created /terms: solr.SearchHandler
INFO  - 2016-06-30 09:34:22.483; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2016-06-30 09:34:22.484; org.apache.solr.core.RequestHandlers; created /elevate: solr.SearchHandler
INFO  - 2016-06-30 09:34:22.522; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2016-06-30 09:34:22.525; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2016-06-30 09:34:22.526; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
